gvkey,datadate,fyear,tic,company_name,total_assets,working_capital,retained_earnings,ebit,total_liabilities,sales,market_value,price_close,shares_outstanding,indfmt,datafmt,consol
001690,2019-09-30,2019,AAPL,APPLE INC,338516.0,57101.0,45314.0,63930.0,248028.0,260174.0,995151.5669,223.97,4443.236,INDL,STD,C
001690,2020-09-30,2020,AAPL,APPLE INC,323888.0,38321.0,14560.0,66288.0,258549.0,274515.0,1966078.923,115.81,16976.763,INDL,STD,C
001690,2021-09-30,2021,AAPL,APPLE INC,351002.0,9355.0,5725.0,108949.0,287912.0,365817.0,2324390.219,141.5,16426.786,INDL,STD,C
001690,2022-09-30,2022,AAPL,APPLE INC,352755.0,-18577.0,-14177.0,119437.0,302083.0,394328.0,2203381.335,138.2,15943.425,INDL,STD,C
001690,2023-09-30,2023,AAPL,APPLE INC,352583.0,-1742.0,-11666.0,114301.0,290437.0,383285.0,2662325.9438,171.21,15550.061,INDL,STD,C
001690,2024-09-30,2024,AAPL,APPLE INC,364980.0,-23405.0,-26326.0,123216.0,308030.0,391035.0,3522211.138,233.0,15116.786,INDL,STD,C
001161,2019-12-31,2019,AMD,ADVANCED MICRO DEVICES,6028.0,2238.0,-7095.0,583.0,3201.0,6731.0,53656.2,45.86,1170.0,INDL,STD,C
001161,2020-12-31,2020,AMD,ADVANCED MICRO DEVICES,8962.0,3726.0,-4588.0,1383.0,3125.0,9763.0,111060.81,91.71,1211.0,INDL,STD,C
001161,2021-12-31,2021,AMD,ADVANCED MICRO DEVICES,12419.0,4343.0,-1454.0,3678.0,4922.0,16434.0,173687.3,143.9,1207.0,INDL,STD,C
001161,2022-12-31,2022,AMD,ADVANCED MICRO DEVICES,67580.0,8650.0,-172.0,1683.0,12830.0,23601.0,104409.24,64.77,1612.0,INDL,STD,C
001161,2023-12-31,2023,AMD,ADVANCED MICRO DEVICES,67885.0,10079.0,713.0,629.0,11993.0,22680.0,238214.56,147.41,1616.0,INDL,STD,C
001161,2024-12-31,2024,AMD,ADVANCED MICRO DEVICES,69226.0,11768.0,2295.0,2290.0,11658.0,25785.0,195921.38,120.79,1622.0,INDL,STD,C
004839,2019-12-31,2019,F,FORD MOTOR CO,258537.0,15915.0,12592.0,5767.0,225307.0,155900.0,36873.849,9.3,3964.93,INDL,STD,C
004839,2020-12-31,2020,F,FORD MOTOR CO,267261.0,19552.0,9949.0,-782.0,236450.0,127144.0,34972.7291,8.79,3978.695,INDL,STD,C
004839,2021-12-31,2021,F,FORD MOTOR CO,257035.0,18269.0,27430.0,7313.0,208413.0,136341.0,83168.231,20.77,4004.248,INDL,STD,C
004839,2022-12-31,2022,F,FORD MOTOR CO,255884.0,19610.0,22415.0,9642.0,212717.0,158057.0,46359.2967,11.63,3986.182,INDL,STD,C
004839,2023-12-31,2023,F,FORD MOTOR CO,273310.0,19950.0,21987.0,11769.0,230512.0,176191.0,48438.5863,12.19,3973.633,INDL,STD,C
004839,2024-12-31,2024,F,FORD MOTOR CO,285196.0,17615.0,24101.0,14002.0,240338.0,184992.0,39238.1055,9.9,3963.445,INDL,STD,C
005047,2019-12-31,2019,GE,GE AEROSPACE,266048.0,,76000.0,8799.0,235748.0,95214.0,97520.9234,11.16,8738.434,INDL,STD,C
