gvkey,datadate,fyear,tic,company_name,total_assets,working_capital,retained_earnings,ebit,total_liabilities,sales,market_value,price_close,shares_outstanding,indfmt,datafmt,consol,x1_wcap_ratio,x2_re_ratio,x3_ebit_ratio,x4_mkt_lev,x5_turnover,z_score,risk_zone
001690,2019-09-30,2019,AAPL,APPLE INC,338516.0,57101.0,45314.0,63930.0,248028.0,260174.0,995151.5669,223.97,4443.236,INDL,STD,C,0.16868035779697266,0.13386073331836604,0.18885370263148565,4.012254934523521,0.7685722388306608,4.188963874230756,Safe Zone
001690,2020-09-30,2020,AAPL,APPLE INC,323888.0,38321.0,14560.0,66288.0,258549.0,274515.0,1966078.923,115.81,16976.763,INDL,STD,C,0.11831559057451958,0.044953811193992985,0.20466334041397027,7.604279741944467,0.8475615027416885,6.290432415635484,Safe Zone
001690,2021-09-30,2021,AAPL,APPLE INC,351002.0,9355.0,5725.0,108949.0,287912.0,365817.0,2324390.219,141.5,16426.786,INDL,STD,C,0.02665226978763654,0.01631044837351354,0.3103942427678475,8.073266202867543,1.042207736708053,6.965285811030559,Safe Zone
001690,2022-09-30,2022,AAPL,APPLE INC,352755.0,-18577.0,-14177.0,119437.0,302083.0,394328.0,2203381.335,138.2,15943.425,INDL,STD,C,-0.05266261286161784,-0.04018936655752576,0.3385834360958739,7.293960054024887,1.1178523337727317,6.49209345668957,Safe Zone
001690,2023-09-30,2023,AAPL,APPLE INC,352583.0,-1742.0,-11666.0,114301.0,290437.0,383285.0,2662325.9438,171.21,15550.061,INDL,STD,C,-0.004940680634063469,-0.033087244705501964,0.32418182385424144,9.166621139179925,1.087077369016657,7.60459911189503,Safe Zone
001690,2024-09-30,2024,AAPL,APPLE INC,364980.0,-23405.0,-26326.0,123216.0,308030.0,391035.0,3522211.138,233.0,15116.786,INDL,STD,C,-0.06412680146857362,-0.07212997972491643,0.33759658063455533,11.434636684738498,1.0713874732862074,8.868304066846168,Safe Zone
001161,2019-12-31,2019,AMD,ADVANCED MICRO DEVICES,6028.0,2238.0,-7095.0,583.0,3201.0,6731.0,53656.2,45.86,1170.0,INDL,STD,C,0.3712674187126742,-1.177007299270073,0.09671532846715329,16.76232427366448,1.1166224286662243,10.290888260283623,Safe Zone
001161,2020-12-31,2020,AMD,ADVANCED MICRO DEVICES,8962.0,3726.0,-4588.0,1383.0,3125.0,9763.0,111060.81,91.71,1211.0,INDL,STD,C,0.41575541173845126,-0.5119392992635572,0.15431823253738006,35.539459199999996,1.0893773711225172,22.70449453361303,Safe Zone
001161,2021-12-31,2021,AMD,ADVANCED MICRO DEVICES,12419.0,4343.0,-1454.0,3678.0,4922.0,16434.0,173687.3,143.9,1207.0,INDL,STD,C,0.3497060954988324,-0.11707866978017553,0.2961591110395362,35.28795205201138,1.3232949512843224,23.72912842582797,Safe Zone
001161,2022-12-31,2022,AMD,ADVANCED MICRO DEVICES,67580.0,8650.0,-172.0,1683.0,12830.0,23601.0,104409.24,64.77,1612.0,INDL,STD,C,0.12799644865344775,-0.0025451316957679788,0.024903817697543653,8.137898674980514,0.3492305415803492,5.464184898980613,Safe Zone
